food 15 10
barrier 2 2
barrier 3 2
barrier 6 2
barrier 7 2
barrier 10 2
barrier 11 2
barrier 3 3
barrier 4 3
barrier 3 5
barrier 9 5
barrier 4 6
barrier 9 6
barrier 4 7
barrier 5 7
barrier 6 7
barrier 1 8
barrier 3 8
barrier 4 8
nonbarrier 4 2 2
nonbarrier 8 2 2
nonbarrier 9 2 3
nonbarrier 1 3 3
nonbarrier 2 3 2
nonbarrier 6 3 3
nonbarrier 8 3 3
nonbarrier 9 3 2
nonbarrier 10 3 2
nonbarrier 11 3 3
nonbarrier 7 4 3
nonbarrier 9 4 2
nonbarrier 10 4 2
nonbarrier 1 5 3
nonbarrier 2 5 2
nonbarrier 4 5 3
nonbarrier 7 5 3
nonbarrier 10 5 2
nonbarrier 7 6 3
nonbarrier 10 6 2
nonbarrier 2 7 2
nonbarrier 8 7 3
nonbarrier 9 7 2
nonbarrier 5 8 3
nonbarrier 6 8 2
pitfall right 3 9
pitfall trans1 1 2
pitfall trans2 10 9
playerscore 1 330
playerscore 2 300
